feature,importance
carrier_day_delay_rate_so_far,8.494389646375117
tail_turnaround_minutes_capped,8.246135907609057
tail_recovery_gap_minutes,6.422293645981305
prev_tail_arrdelay_minutes_capped,4.147682342399494
turnaround_buffer_ratio,4.09228508256776
Operating_Airline,3.8008913550777383
tail_recovery_pressure,3.218385077705342
prev_tail_gap_hours_capped,3.0765852325514396
flight_number_delay_rate,2.9473378701201973
carrier_flight_key,2.7722289473058312
airline_route_delay_rate,2.7131300567336414
origin_hour_delay_rate,2.5754940280613274
CRSDepTime,2.3178125566941516
dep_hour_sin,2.11535380659874
route,2.021474812574254
origin_recent_delay_intensity,1.566558956767314
origin_delay_rate_last_3h,1.4629387663413749
Tail_Number,1.3682554474030277
Marketing_Airline_Network,1.2083157937349176
origin_day_delay_rate_so_far,1.1863429327289061
prev_flight_number_delay15,1.1495722579987502
tail_turnaround_short_flag,1.115494174928258
operating_delay_rate,1.0273435595507348
carrier_origin_recent_intensity,1.0167993201410719
weather_disruption_mix,0.980635123245381
dep_hour,0.8599483635629152
day_of_year_cos_enterprise,0.8577723841188392
carrier_delay_rate,0.8472532293986329
arr_hour_sin,0.7950440935607248
carrier_day_departures_so_far,0.6750859033892633
OriginAirportID,0.6350447348450895
CRSArrTime,0.5920168938504433
Flight_Number_Marketing_Airline,0.5867046977516056
route_delay_momentum,0.5709743302680985
dep_hour_cos,0.5637382100609186
Origin,0.5587920748048458
OriginState,0.5288507148320348
carrier_delay_momentum,0.5188296661078823
arr_hour,0.5181034175111353
origin_delay_rate_last_1h,0.5114490617594443
day_of_year_sin_enterprise,0.5094397111587416
carrier_origin_delay_rate_last_3h,0.4936534550049943
day_of_year,0.48253471761407285
DestAirportID,0.47366767091551726
carrier_origin_day_delay_rate_so_far,0.46875400927309985
week_of_year,0.462718704617766
Dest,0.45138464278042206
CRSElapsedTime,0.41955998426400026
route_day_delay_rate_so_far,0.4188019077407503
tail_departures_so_far,0.3572797096440095
day_of_week_sin_enterprise,0.352838358096468
Distance,0.34125182783617614
distance_per_sched_min,0.3335010294885546
dest_recent_temp_3h_mean,0.3205939552756065
tail_usage_log,0.31309039756489987
flight_recovery_gap_ratio,0.3121850987869003
dest_metar_freezing_precip_6h_count,0.31161793957950656
origin_delays_last_3h_count,0.2949567306797304
DestState,0.2910383388729298
prev_flight_number_arrdelay_minutes_capped,0.2906465755717713
flight_number_usage_log,0.2874880422634826
origin_delay_rate,0.28456361402545943
dest_metar_thunder_3h_count,0.2821875909940899
origin_metar_thunder_3h_count,0.27832538399775175
dest_wind_volatility_6h,0.27292093182698607
network_pressure_gap,0.26823386309694147
DayofMonth,0.26078078870072924
origin_dep_hour_volume,0.25810333876501135
day_of_week_cos_enterprise,0.25753934313011095
carrier_origin_day_departures_so_far,0.24595661271271163
flight_number_departures_so_far,0.24419620209814022
route_delay_rate,0.2385699564425753
origin_frequency,0.23493175389215593
DayOfWeek,0.23458328084956093
month_cos_enterprise,0.21173721622302408
origin_recent_temp_3h_mean,0.2082454055676854
dest_recent_wspd_6h_mean,0.19328931114248799
arr_hour_cos,0.18533963207888576
origin_wind_volatility_6h,0.17704711713161136
flight_number_recovery_pressure,0.17637230349014776
traffic_pressure,0.16961839292815198
dest_recent_bad_weather_hours_12h,0.16866891391147362
origin_delay_rate_last_30m,0.16787352702418634
origin_metar_freezing_precip_6h_count,0.1676078175146163
origin_metar_freezing_precip_now_flag,0.16201099621909318
origin_recent_pressure_score,0.14847127344649028
carrier_volume_log,0.14339060258147568
carrier_origin_departures_last_3h,0.1416448359417174
origin_day_departures_so_far,0.14152453724865857
